customer_age,age_group,gender,income_category,income_inr,income_group,credit_limit,total_trans_amt,total_trans_count,avg_trans_value,spending_level
55,46 - 55,F,Less than $40K,<Rs33L,Low Income,3035,1877,37,50.72972973,Medium
42,36 - 45,F,Less than $40K,<Rs33L,Low Income,15433,966,22,43.90909091,Low
57,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,3672,1464,28,52.28571429,Medium
66,55+,F,Unknown,Unknown,Unknown,7882,704,16,44,Low
45,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,32426,1109,28,39.60714286,Low
51,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,6205,1347,28,48.10714286,Medium
50,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,17304,1756,33,53.21212121,Medium
49,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3906,1756,32,54.875,Medium
38,36 - 45,F,Unknown,Unknown,Unknown,9830,1042,23,45.30434783,Low
49,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1444,28,51.57142857,Medium
56,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2283,1741,27,64.48148148,Medium
59,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,2548,1719,27,63.66666667,Medium
46,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,19458,1217,27,45.07407407,Medium
52,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,4745,1140,40,28.5,Low
52,46 - 55,F,Less than $40K,<Rs33L,Low Income,2622,1878,30,62.6,Medium
54,46 - 55,F,Less than $40K,<Rs33L,Low Income,1438.3,705,19,37.10526316,Low
66,55+,F,Less than $40K,<Rs33L,Low Income,3171,1946,38,51.21052632,Medium
49,46 - 55,M,$120K +,Rs1Cr +,High Income,19763,1414,35,40.4,Medium
56,55+,M,$120K +,Rs1Cr +,High Income,15769,602,15,40.13333333,Low
49,46 - 55,F,Less than $40K,<Rs33L,Low Income,3298,1052,32,32.875,Low
49,46 - 55,F,Less than $40K,<Rs33L,Low Income,2802,1295,40,32.375,Medium
56,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,4458,1424,29,49.10344828,Medium
44,36 - 45,F,Unknown,Unknown,Unknown,6273,1359,25,54.36,Medium
42,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3336,1168,27,43.25925926,Low
55,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,3436,1097,33,33.24242424,Low
48,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,34516,691,15,46.06666667,Low
39,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,5926,1316,28,47,Medium
44,36 - 45,M,$120K +,Rs1Cr +,High Income,23957,1276,26,49.07692308,Medium
53,46 - 55,M,$120K +,Rs1Cr +,High Income,14734,1289,23,56.04347826,Medium
51,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1293,32,40.40625,Medium
57,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,6584,1353,35,38.65714286,Medium
44,36 - 45,F,Less than $40K,<Rs33L,Low Income,2084,1132,28,40.42857143,Low
49,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,1687,1670,17,98.23529412,Medium
50,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,25300,837,15,55.8,Low
51,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,1550,41,37.80487805,Medium
55,46 - 55,F,Less than $40K,<Rs33L,Low Income,2216,1540,36,42.77777778,Medium
54,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2910,1256,21,59.80952381,Medium
42,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,22913,1394,35,39.82857143,Medium
44,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,24312,1341,24,55.875,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,5272,1289,33,39.06060606,Medium
44,36 - 45,F,Less than $40K,<Rs33L,Low Income,7000,1112,23,48.34782609,Low
37,36 - 45,F,Less than $40K,<Rs33L,Low Income,7038,2339,57,41.03508772,High
49,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2536,1468,23,63.82608696,Medium
47,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,28904,1334,35,38.11428571,Medium
47,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,8567,1457,41,35.53658537,Medium
44,36 - 45,M,$120K +,Rs1Cr +,High Income,34516,1603,29,55.27586207,Medium
55,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,2158,615,12,51.25,Low
59,55+,F,Unknown,Unknown,Unknown,10133,1068,20,53.4,Low
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1590,27,58.88888889,Medium
52,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3085,1531,35,43.74285714,Medium
53,46 - 55,M,$120K +,Rs1Cr +,High Income,19040,1212,31,39.09677419,Medium
43,36 - 45,F,Less than $40K,<Rs33L,Low Income,4026,1237,32,38.65625,Medium
44,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,12756,1413,14,100.9285714,Medium
57,55+,M,$120K +,Rs1Cr +,High Income,5266,1516,29,52.27586207,Medium
51,46 - 55,F,Less than $40K,<Rs33L,Low Income,9930,1276,21,60.76190476,Medium
49,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,31302,1564,35,44.68571429,Medium
45,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,6576,1465,34,43.08823529,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,2664,1286,29,44.34482759,Medium
45,36 - 45,F,Unknown,Unknown,Unknown,2535,1312,20,65.6,Medium
64,55+,M,Less than $40K,<Rs33L,Low Income,1709,1673,32,52.28125,Medium
45,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,3454,1313,30,43.76666667,Medium
53,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,3789,1609,42,38.30952381,Medium
56,55+,M,$120K +,Rs1Cr +,High Income,9689,1158,19,60.94736842,Low
47,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,5449,836,18,46.44444444,Low
49,46 - 55,F,Unknown,Unknown,Unknown,23032,1289,22,58.59090909,Medium
41,36 - 45,F,Unknown,Unknown,Unknown,34516,1487,26,57.19230769,Medium
53,46 - 55,M,$120K +,Rs1Cr +,High Income,2940,1259,33,38.15151515,Medium
44,36 - 45,F,Less than $40K,<Rs33L,Low Income,3031,1298,15,86.53333333,Medium
44,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,1862,1226,34,36.05882353,Medium
43,36 - 45,F,Less than $40K,<Rs33L,Low Income,8358,1566,37,42.32432432,Medium
53,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,1022,21,48.66666667,Low
44,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,14450,1235,30,41.16666667,Medium
62,55+,F,Less than $40K,<Rs33L,Low Income,1438.3,1951,44,44.34090909,Medium
54,46 - 55,M,$120K +,Rs1Cr +,High Income,33791,1047,31,33.77419355,Low
57,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,8466,1342,32,41.9375,Medium
42,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,15088,1107,21,52.71428571,Low
42,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3263,1251,35,35.74285714,Medium
54,46 - 55,F,Less than $40K,<Rs33L,Low Income,1494,1305,24,54.375,Medium
48,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,13551,1388,37,37.51351351,Medium
49,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,18886,1235,18,68.61111111,Medium
52,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,11976,2089,36,58.02777778,High
50,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,9964,1626,25,65.04,Medium
49,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,24159,1111,24,46.29166667,Low
53,46 - 55,F,Less than $40K,<Rs33L,Low Income,5362,1553,38,40.86842105,Medium
50,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,1064,13,81.84615385,Low
55,46 - 55,F,Less than $40K,<Rs33L,Low Income,3174,1243,29,42.86206897,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,12262,1659,38,43.65789474,Medium
47,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,3788,1594,47,33.91489362,Medium
55,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,1268,42,30.19047619,Medium
47,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2926,1304,24,54.33333333,Medium
58,55+,M,$120K +,Rs1Cr +,High Income,32090,1368,30,45.6,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,11669,720,23,31.30434783,Low
52,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,13532,1521,29,52.44827586,Medium
50,46 - 55,F,Less than $40K,<Rs33L,Low Income,11888,1137,30,37.9,Low
42,36 - 45,F,Less than $40K,<Rs33L,Low Income,2393,978,16,61.125,Low
43,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,6111,1221,16,76.3125,Medium
57,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,19270,1565,28,55.89285714,Medium
52,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,3710,1578,34,46.41176471,Medium
47,46 - 55,M,Less than $40K,<Rs33L,Low Income,3235,1493,32,46.65625,Medium
44,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,11749,1178,27,43.62962963,Low
53,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,7753,991,26,38.11538462,Low
45,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,10408,2560,42,60.95238095,High
63,55+,F,Unknown,Unknown,Unknown,3967,1657,29,57.13793103,Medium
39,36 - 45,F,Less than $40K,<Rs33L,Low Income,6205,1204,19,63.36842105,Medium
48,46 - 55,F,Less than $40K,<Rs33L,Low Income,8025,673,18,37.38888889,Low
51,46 - 55,M,$120K +,Rs1Cr +,High Income,9036,1131,18,62.83333333,Low
54,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,14926,1576,25,63.04,Medium
59,55+,F,Less than $40K,<Rs33L,Low Income,6335,1217,20,60.85,Medium
59,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,14979,530,10,53,Low
48,46 - 55,F,Less than $40K,<Rs33L,Low Income,2732,739,16,46.1875,Low
41,36 - 45,F,Less than $40K,<Rs33L,Low Income,2250,1617,31,52.16129032,Medium
55,46 - 55,M,$120K +,Rs1Cr +,High Income,10916,1592,34,46.82352941,Medium
47,46 - 55,F,Unknown,Unknown,Unknown,5349,1343,30,44.76666667,Medium
41,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,9366,1303,39,33.41025641,Medium
40,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,21617,1351,22,61.40909091,Medium
68,55+,M,Unknown,Unknown,Unknown,13860,1910,32,59.6875,Medium
50,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,18386,1298,22,59,Medium
47,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2405,1087,29,37.48275862,Low
53,46 - 55,F,Less than $40K,<Rs33L,Low Income,2154,1439,26,55.34615385,Medium
42,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,2038,1238,28,44.21428571,Medium
48,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,8135,1716,29,59.17241379,Medium
49,46 - 55,M,$120K +,Rs1Cr +,High Income,9364,1099,27,40.7037037,Low
44,36 - 45,F,Unknown,Unknown,Unknown,32643,1058,24,44.08333333,Low
43,36 - 45,F,Less than $40K,<Rs33L,Low Income,3195,1285,29,44.31034483,Medium
56,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,2852,1651,28,58.96428571,Medium
59,55+,F,Unknown,Unknown,Unknown,4224,1152,31,37.16129032,Low
46,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,20459,1767,38,46.5,Medium
47,46 - 55,F,Less than $40K,<Rs33L,Low Income,3482,1039,24,43.29166667,Low
50,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,3065,1130,28,40.35714286,Low
51,46 - 55,F,Less than $40K,<Rs33L,Low Income,2185,1645,30,54.83333333,Medium
47,46 - 55,F,Less than $40K,<Rs33L,Low Income,1611,1413,29,48.72413793,Medium
58,55+,F,Less than $40K,<Rs33L,Low Income,2822,1218,23,52.95652174,Medium
46,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,32975,597,17,35.11764706,Low
53,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,1438.3,2184,53,41.20754717,High
45,36 - 45,F,Unknown,Unknown,Unknown,15875,1592,37,43.02702703,Medium
52,46 - 55,F,Less than $40K,<Rs33L,Low Income,6703,1388,28,49.57142857,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,3212,757,20,37.85,Low
50,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1504,34,44.23529412,Medium
41,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,9797,1503,34,44.20588235,Medium
45,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,10400,1105,28,39.46428571,Low
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,26792,2398,47,51.0212766,High
67,55+,F,Less than $40K,<Rs33L,Low Income,3006,1661,32,51.90625,Medium
57,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,19482,1421,22,64.59090909,Medium
59,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,3356,999,28,35.67857143,Low
45,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,5771,1387,18,77.05555556,Medium
51,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,11106,1243,24,51.79166667,Medium
59,55+,F,Less than $40K,<Rs33L,Low Income,2890,1860,36,51.66666667,Medium
53,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3380,1502,25,60.08,Medium
47,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,21331,1460,50,29.2,Medium
49,46 - 55,F,Unknown,Unknown,Unknown,12860,1348,27,49.92592593,Medium
49,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,6278,1087,33,32.93939394,Low
60,55+,F,Less than $40K,<Rs33L,Low Income,1438.3,1226,33,37.15151515,Medium
50,46 - 55,F,Less than $40K,<Rs33L,Low Income,9355,1230,28,43.92857143,Medium
41,36 - 45,F,Unknown,Unknown,Unknown,20758,1555,32,48.59375,Medium
57,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,14612,1827,24,76.125,Medium
43,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,27259,1376,35,39.31428571,Medium
57,55+,F,Less than $40K,<Rs33L,Low Income,6347,1771,37,47.86486486,Medium
54,46 - 55,M,$120K +,Rs1Cr +,High Income,21592,1873,52,36.01923077,Medium
51,46 - 55,F,Less than $40K,<Rs33L,Low Income,3449,1679,42,39.97619048,Medium
47,46 - 55,F,Less than $40K,<Rs33L,Low Income,6028,1002,22,45.54545455,Low
41,36 - 45,M,$120K +,Rs1Cr +,High Income,18214,1344,21,64,Medium
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,16393,1461,42,34.78571429,Medium
68,55+,M,Less than $40K,<Rs33L,Low Income,1438.3,760,21,36.19047619,Low
59,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,7871,1428,22,64.90909091,Medium
48,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,5288,1777,42,42.30952381,Medium
44,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,11376,1302,27,48.22222222,Medium
48,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,12302,1483,41,36.17073171,Medium
47,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,34516,1060,27,39.25925926,Low
47,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,34516,1330,32,41.5625,Medium
43,36 - 45,F,Less than $40K,<Rs33L,Low Income,10514,1229,27,45.51851852,Medium
55,46 - 55,F,Less than $40K,<Rs33L,Low Income,1438.3,886,27,32.81481481,Low
59,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,1438.3,844,24,35.16666667,Low
63,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,2619,1450,37,39.18918919,Medium
58,55+,M,$120K +,Rs1Cr +,High Income,24407,2311,48,48.14583333,High
53,46 - 55,F,Less than $40K,<Rs33L,Low Income,2377,1378,26,53,Medium
59,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1033,26,39.73076923,Low
52,46 - 55,M,$120K +,Rs1Cr +,High Income,11086,1523,40,38.075,Medium
48,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,11432,1374,37,37.13513514,Medium
43,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,13258,1080,21,51.42857143,Low
48,46 - 55,M,Less than $40K,<Rs33L,Low Income,2571,1234,24,51.41666667,Medium
43,36 - 45,F,Less than $40K,<Rs33L,Low Income,5781,1600,32,50,Medium
44,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,7872,1155,32,36.09375,Low
41,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1353,33,41,Medium
44,36 - 45,F,Less than $40K,<Rs33L,Low Income,11127,1546,25,61.84,Medium
50,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,1857,1590,43,36.97674419,Medium
60,55+,F,Less than $40K,<Rs33L,Low Income,1913,1448,22,65.81818182,Medium
44,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,3839,1271,24,52.95833333,Medium
48,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,2115,1223,20,61.15,Medium
44,36 - 45,F,Less than $40K,<Rs33L,Low Income,1438.3,1117,29,38.51724138,Low
41,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,27756,994,24,41.41666667,Low
45,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,1438.3,1468,26,56.46153846,Medium
47,46 - 55,F,Less than $40K,<Rs33L,Low Income,13878,1658,38,43.63157895,Medium
51,46 - 55,F,Less than $40K,<Rs33L,Low Income,3106,1368,38,36,Medium
51,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,1218,18,67.66666667,Medium
60,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,1438.3,702,12,58.5,Low
57,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,18871,1516,21,72.19047619,Medium
41,36 - 45,M,$120K +,Rs1Cr +,High Income,5207,1310,26,50.38461538,Medium
44,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,17965,1767,50,35.34,Medium
43,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2733,933,25,37.32,Low
55,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,8863,1512,27,56,Medium
52,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,1857,829,17,48.76470588,Low
44,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1120,27,41.48148148,Low
41,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,11107,1506,33,45.63636364,Medium
44,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,21573,1384,36,38.44444444,Medium
53,46 - 55,F,Less than $40K,<Rs33L,Low Income,2859,817,30,27.23333333,Low
39,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,5269,2094,25,83.76,High
49,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,1438.3,815,21,38.80952381,Low
45,36 - 45,F,Less than $40K,<Rs33L,Low Income,3387,510,24,21.25,Low
54,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,1982,1377,49,28.10204082,Medium
49,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,4645,1193,33,36.15151515,Low
46,46 - 55,F,Unknown,Unknown,Unknown,2189,1287,36,35.75,Medium
46,46 - 55,M,$120K +,Rs1Cr +,High Income,2442,701,19,36.89473684,Low
47,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,21304,1770,25,70.8,Medium
44,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,7577,1409,35,40.25714286,Medium
50,46 - 55,M,$120K +,Rs1Cr +,High Income,3234,1354,28,48.35714286,Medium
73,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,4469,1765,34,51.91176471,Medium
56,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,2910,1192,27,44.14814815,Low
59,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,3616,687,17,40.41176471,Low
70,55+,M,Less than $40K,<Rs33L,Low Income,3252,1227,15,81.8,Medium
55,46 - 55,F,Less than $40K,<Rs33L,Low Income,2358,1737,26,66.80769231,Medium
43,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,22322,1348,34,39.64705882,Medium
45,36 - 45,M,$120K +,Rs1Cr +,High Income,3133,1435,38,37.76315789,Medium
45,36 - 45,F,$40K - $60K,Rs33L - Rs50L,Low Income,3540,1321,28,47.17857143,Medium
40,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,6990,1479,29,51,Medium
36,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,34516,1283,39,32.8974359,Medium
59,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,1438.3,689,23,29.95652174,Low
43,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,24396,965,17,56.76470588,Low
46,46 - 55,F,Less than $40K,<Rs33L,Low Income,2474,1541,40,38.525,Medium
41,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,5214,1258,23,54.69565217,Medium
51,46 - 55,F,Less than $40K,<Rs33L,Low Income,5207,1339,20,66.95,Medium
51,46 - 55,F,Less than $40K,<Rs33L,Low Income,9512,1007,22,45.77272727,Low
43,36 - 45,F,Unknown,Unknown,Unknown,3187,1387,33,42.03030303,Medium
64,55+,F,$40K - $60K,Rs33L - Rs50L,Low Income,3353,960,18,53.33333333,Low
54,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2290,1119,18,62.16666667,Low
48,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,5279,1642,41,40.04878049,Medium
40,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,23603,1382,31,44.58064516,Medium
57,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,2601,1232,32,38.5,Medium
45,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,6363,1542,16,96.375,Medium
41,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,8029,1094,32,34.1875,Low
42,36 - 45,F,Less than $40K,<Rs33L,Low Income,2410,1217,30,40.56666667,Medium
45,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,3401,744,18,41.33333333,Low
42,36 - 45,F,Less than $40K,<Rs33L,Low Income,2260,1614,33,48.90909091,Medium
47,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,17682,1747,31,56.35483871,Medium
48,46 - 55,F,$40K - $60K,Rs33L - Rs50L,Low Income,4206,1144,22,52,Low
